1,37.186,14.999,15.259,36.046,13.34,23.83,8.8034
2,65.819,16.869,18.027,63.739,14.136,36.218,18.513
3,49.995,-3.1841,-23.516,48.651,-5.2664,1.0131,24.654
4,42.641,-15.325,20.042,41.856,-14.95,29.414,9.4123
5,54.685,9.6978,-26.713,53.174,6.4353,-1.1941,25.771
6,71.244,-33.139,-0.50101,70.242,-33.814,25.832,26.361
7,62.256,34.109,57.777,60.564,33.51,59.707,2.6353
8,39.589,9.998,-43.639,38.149,4.667,-16.601,27.596
9,51.842,48.14,16.064,49.073,45.947,29.48,13.874
10,29.45,22.426,-21.766,28.135,18.657,-3.5282,18.669
11,71.626,-24.344,57.685,70.765,-23.832,65.557,7.9358
12,72.229,20.604,69.015,71,20.482,71.075,2.4015
13,28.64,18.591,-51.409,27.017,12.956,-26.339,25.747
14,54.631,-39.549,32.834,55.112,-37.926,44.802,12.087
15,42.599,54.605,25.732,40.518,52.162,30.931,6.11
16,82.426,3.8689,78.857,81.209,4.058,80.906,2.3908
17,51.548,49.515,-14.376,48.847,46.496,6.2114,20.982
18,49.389,-26.547,-28.664,48.943,-29.159,-0.90737,27.883
19,95.446,-0.44143,0.024428,93.579,-4.0462,29.132,29.389
20,80.034,0.13094,-0.93446,78.477,-2.3486,25.167,26.265
21,66.011,-0.000437,-1.1463,64.437,-1.9692,23.565,24.839
22,50.555,-0.62069,-0.96162,49.158,-2.1651,19.342,20.41
23,35.153,-0.063182,-0.97081,34.364,-1.6957,14.211,15.29
24,20.322,-0.28577,-0.56032,21.64,-2.0224,9.4483,10.243
