1,37.186,14.999,15.259,36.513,13.65,22.057,6.963
2,65.819,16.869,18.027,65.02,13.058,34.475,16.903
3,49.995,-3.1841,-23.516,50.13,-6.6342,0.57109,24.333
4,42.641,-15.325,20.042,43.324,-17.085,31.014,11.133
5,54.685,9.6978,-26.713,53.613,7.4958,-4.1603,22.685
6,71.244,-33.139,-0.50101,70.683,-32.479,21.257,21.775
7,62.256,34.109,57.777,61.029,33.649,58.867,1.704
8,39.589,9.998,-43.639,38.735,6.8452,-20.658,23.212
9,51.842,48.14,16.064,49.532,46.44,26.621,10.94
10,29.45,22.426,-21.766,28.558,19.258,-5.2784,16.813
11,71.626,-24.344,57.685,71.099,-23.82,64.045,6.403
12,72.229,20.604,69.015,71.415,20.636,70.288,1.5117
13,28.64,18.591,-51.409,28.666,12.251,-27.462,24.773
14,54.631,-39.549,32.834,55.405,-38.121,44.109,11.392
15,42.599,54.605,25.732,40.899,52.536,29.083,4.2899
16,82.426,3.8689,78.857,81.59,4.2572,79.704,1.2518
17,51.548,49.515,-14.376,49.32,47.206,3.4835,18.145
18,49.389,-26.547,-28.664,49.318,-27.942,-3.9655,24.738
19,95.446,-0.44143,0.024428,94.496,-3.7891,25.686,25.897
20,80.034,0.13094,-0.93446,78.875,-1.6359,22.423,23.453
21,66.011,-0.000437,-1.1463,64.849,-0.89789,19.511,20.709
22,50.555,-0.62069,-0.96162,50.138,-2.8325,17.909,19.005
23,35.153,-0.063182,-0.97081,34.716,-1.5069,13.271,14.322
24,20.322,-0.28577,-0.56032,22.03,-1.4769,7.632,8.4527
